# upstream_commit	e56521e3234131a2c1639a74e2f15fff643acf30
upstream_path	area	kind	status	bulb_path	notes
packages/coding-agent/examples/extensions/mac-system-theme.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/message-renderer.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/minimal-mode.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/modal-editor.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/model-status.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/notify.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/overlay-qa-tests.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/overlay-test.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/permission-gate.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/pirate.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/plan-mode/README.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/plan-mode/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/plan-mode/utils.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/preset.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/prompt-customizer.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/protected-paths.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/provider-payload.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/qna.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/question.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/questionnaire.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/rainbow-editor.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/reload-runtime.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/rpc-demo.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/sandbox/.gitignore	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/sandbox/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/sandbox/package-lock.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/sandbox/package.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/send-user-message.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/session-name.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/shutdown-command.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/snake.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/space-invaders.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/ssh.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/status-line.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/structured-output.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/README.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/agents.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/agents/planner.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/agents/reviewer.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/agents/scout.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/agents/worker.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/prompts/implement-and-review.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/prompts/implement.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/subagent/prompts/scout-and-plan.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/summarize.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/system-prompt-header.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/tic-tac-toe.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/timed-confirm.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/titlebar-spinner.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/todo.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/tool-override.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/tools.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/trigger-compact.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/truncated-tool.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/widget-placement.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/with-deps/.gitignore	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/with-deps/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/with-deps/package-lock.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/with-deps/package.json	bulb_coding_agent	example	pending		
